game_id,game_title,game_url,general_rating,recent_rating
730,Counter-Strike 2,https://store.steampowered.com/app/730/CounterStrike_2/,Very Positive,Mostly Positive
427520,Factorio,https://store.steampowered.com/app/427520/Factorio/,Overwhelmingly Positive,Overwhelmingly Positive
2429640,THRONE AND LIBERTY,https://store.steampowered.com/app/2429640/THRONE_AND_LIBERTY/,Mixed,Mixed
2669320,EA SPORTS FC™ 25,https://store.steampowered.com/app/2669320/EA_SPORTS_FC_25/,Mixed,Mixed
236390,War Thunder,https://store.steampowered.com/app/236390/War_Thunder/,Mostly Positive,Mostly Positive
381210,Dead by Daylight,https://store.steampowered.com/app/381210/Dead_by_Daylight/,Very Positive,Mostly Positive
1293830,Forza Horizon 4,https://store.steampowered.com/app/1293830/Forza_Horizon_4/,Very Positive,Very Positive
236850,Europa Universalis IV,https://store.steampowered.com/app/236850/Europa_Universalis_IV/,Very Positive,Very Positive
2344520,Diablo® IV,https://store.steampowered.com/app/2344520/Diablo_IV/,Mostly Positive,Mixed
440,Team Fortress 2,https://store.steampowered.com/app/440/Team_Fortress_2/,Very Positive,Very Positive
230410,Warframe,https://store.steampowered.com/app/230410/Warframe/,Very Positive,Very Positive
1172620,Sea of Thieves: 2024 Edition,https://store.steampowered.com/app/1172620/Sea_of_Thieves_2024_Edition/,Very Positive,Very Positive
444200,World of Tanks Blitz,https://store.steampowered.com/app/444200/World_of_Tanks_Blitz/,Mostly Positive,Mostly Positive
39210,FINAL FANTASY XIV Online,https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online/,Very Positive,Very Positive
1248130,Farming Simulator 22,https://store.steampowered.com/app/1248130/Farming_Simulator_22/,Very Positive,Very Positive
2074920,The First Descendant,https://store.steampowered.com/app/2074920/The_First_Descendant/,Mixed,Mixed
1934680,Age of Mythology: Retold,https://store.steampowered.com/app/1934680/Age_of_Mythology_Retold/,Very Positive,Very Positive
2399830,ARK: Survival Ascended,https://store.steampowered.com/app/2399830/ARK_Survival_Ascended/,Mixed,Mixed
2357570,Overwatch® 2,https://store.steampowered.com/app/2357570/Overwatch_2/,Mostly Negative,Mostly Negative
2073850,THE FINALS,https://store.steampowered.com/app/2073850/THE_FINALS/,Mostly Positive,Mostly Positive
813780,Age of Empires II: Definitive Edition,https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/,Very Positive,Overwhelmingly Positive
1938090,Call of Duty®,https://store.steampowered.com/app/1938090/Call_of_Duty/,Mixed,Mixed
281990,Stellaris,https://store.steampowered.com/app/281990/Stellaris/,Very Positive,Very Positive
761890,Albion Online,https://store.steampowered.com/app/761890/Albion_Online/,Mostly Positive,Mostly Positive
2290180,Riders Republic,https://store.steampowered.com/app/2290180/Riders_Republic/,Very Positive,Very Positive
2186680,"Warhammer 40,000: Rogue Trader",https://store.steampowered.com/app/2186680/Warhammer_40000_Rogue_Trader/,Mostly Positive,Very Positive
1669000,Age of Wonders 4,https://store.steampowered.com/app/1669000/Age_of_Wonders_4/,Very Positive,Mostly Positive
4000,Garry's Mod,https://store.steampowered.com/app/4000/Garrys_Mod/,Overwhelmingly Positive,Overwhelmingly Positive
108600,Project Zomboid,https://store.steampowered.com/app/108600/Project_Zomboid/,Very Positive,Very Positive
945360,Among Us,https://store.steampowered.com/app/945360/Among_Us/,Very Positive,Very Positive
2707930,Palia,https://store.steampowered.com/app/2707930/Palia/,Very Positive,Very Positive
1466860,Age of Empires IV: Anniversary Edition,https://store.steampowered.com/app/1466860/Age_of_Empires_IV_Anniversary_Edition/,Very Positive,Very Positive
2141910,Magic: The Gathering Arena,https://store.steampowered.com/app/2141910/Magic_The_Gathering_Arena/,Mixed,Mixed
1824220,Chivalry 2,https://store.steampowered.com/app/1824220/Chivalry_2/,Very Positive,Mostly Positive
